app_token,app_name,installs,clicks,sessions,revenue
fi60tzitdc00,Prado Parking Game PP3D,10410843,21742450,40985550,112.087
kosu37clk0sg,AI Voice Changer,5436998,10844865,9355589,236.087
1u799z56nuow,WallHub HD Video Wallpapers 4K,4300057,9705423,9053742,131005.802
63szvycvnlds,MRM Bike Racing,3732457,18999046,8968658,0.0
ra6o9n6s9iio,Offroad Jeep Driving,2372519,3295364,6395539,0.0
7osw0imz29og,Highway Car Racing,2019118,6227070,6200643,0.0
lemm19mz2hhc,PicsLab: AI Art Photo Editor,1984449,5553407,5978205,0.0
2l7ubpjqhkcg,Picsly,1882163,5403354,3136908,0.0
fazf90ztfocg,All Video Downloader & Browser,984890,3685541,2154315,28421.391
bks107ehrgu8,Car Racing Game (Prado Racing),885025,1260616,2244759,0.0
w6og5rlpr5kw,Gym King - GP,659158,3941931,2301592,0.0
m83ug0epufb4,Surgery Simulator,616369,156833,1289067,0.0
g2t4cnd2c4xs,Drift Master,613628,1277593,1955588,0.0
7weoz7qscgw0,ZMPlayer All Video Downloader,602707,2891257,1420702,22759.813
e0ggs7bknrwg,Rider 3D: Bike Racing Game,551356,1466312,1325089,0.0
51tpzkzjrtog,Bike Stunt Legends,525703,1015717,1702283,0.0
pcn9821j30u8,Boxing League,460598,2951792,1324322,0.0
cenvq710cqo0,Gun Shoote FPS 3,429255,896521,1653343,0.0
35nh4ruswwhs,Aspire_Android,409853,835160,730041,0.0
1hitp7topfy8,Car Wash ASMR,339563,1838520,985800,0.0
51puyvnahq80,Picsgen Ai Art,279592,546070,487546,0.0
saz5pxqhxs74,Voice Changer – Text to Speech,264537,489026,409416,0.0
55yk2homzwn4,Try Look,258078,736299,422528,6946.294
3r9zsai5sdts,Silly Smile: Live Wallpaper,246891,519931,450196,0.0
3ziwu8n559og,HD camera,240564,1073141,681339,609.312
wfh13rbvliww,Skyzoo,240027,1334670,824876,0.0
retpppqrwtfk,BRM - Racing Master,213507,994164,544771,0.0
6c0qpovouk8w,Gym Super: Clicker Hero,211673,555331,591060,0.0
mtnvj4au7y0w,Rider 3D - iOS,194084,872171,598058,0.0
kmnuklmogk5c,File Recovery - Photo Recovery,187599,572262,263314,27799.095
jtpjmzt7mpz4,PP3D Parking Game,161082,1084307,831286,0.0
4edxcjmrmdc0,Kart Racing iOS,129151,525741,370281,0.0
g2cezomrzmrk,Beauty Camera,114533,274154,183317,2119.709
l9475p7nhhj4,Gym King - iOS,108151,1195320,411736,0.0
4aqsl69glfeo,Rally Race Pro 3.0,102714,29970,134085,0.0
2608zor212kg,Car Wash - Kindwave,99338,418150,345374,0.0
algqrh1axk3k,Lancer Strike: Spring Shooting,99041,273852,238584,0.0
47q0khfcmgsg,Rolling Icon,94852,317192,196512,30280.342
ad8lmjvyp4ow,Audio Effects - Voice Changer,88756,103800,279993,0.0
w0isc2o5wb9c,Prank Sound,87598,67538,182061,3235.983
9chwtbkp5xc0,Video Downloader Tfl,84843,431352,198329,1395.919
4mweknxdmvi8,Idle Fighting Hero Clicker Sim,83127,246151,200816,0.0
ujyabloes5q8,Voice Changer IOS,76748,57300,124565,0.0
3e20rhjszog0,Arrows,72812,760005,253798,0.0
5g9iv8it9hfk,Boxing League IOS,50425,580683,193282,188.346
jb6ood76z6yo,Pixel AI Video Effects,44433,112917,68426,2992.814
8l10ix1ee4jk,Artora AI,43404,100577,65268,0.0
hjv0wyu9bd34,ASMR Coloring Game: Drawing,42988,0,112632,0.0
